"Victim.s.race","Victim.s.gender","Date.of.Incident..month.day.year.","City","State","year"
"Black","Male","30/03/2020","Baltimore","MD","2020"
"White","Male","30/03/2020","Louisville","KY","2020"
"Hispanic","Male","30/03/2020","Albuquerque","NM","2020"
"White","Male","29/03/2020","Phoenix","AZ","2020"
"White","Male","28/03/2020","Caldwell","ID","2020"
"Unknown race","Male","28/03/2020","Gray","KY","2020"
"Black","Male","27/03/2020","Newburgh","NY","2020"
"White","Male","27/03/2020","Buchanan","VA","2020"
"Unknown race","Male","27/03/2020","Turner","OR","2020"
"Unknown race","Male","27/03/2020","Lehigh Acres","FL","2020"
"White","Female","26/03/2020","Ormond Beach","FL","2020"
"White","Male","26/03/2020","Linwood","NC","2020"
"White","Male","25/03/2020","Pahrump","NV","2020"
"White","Male","25/03/2020","London","AR","2020"
"Unknown race","Male","25/03/2020","Browning","MT","2020"
"Hispanic","Male","24/03/2020","El Paso","TX","2020"
"White","Male","24/03/2020","Schenectady","NY","2020"
"White","Male","24/03/2020","Clemmons","NC","2020"
"White","Female","24/03/2020","Shelton","WA","2020"
"Hispanic","Male","23/03/2020","San Antonio","TX","2020"
"White","Male","23/03/2020","Mojave","CA","2020"
"Unknown race","Male","22/03/2020","Fresno","CA","2020"
"Unknown race","Male","21/03/2020","Villa Ridge","MO","2020"
"Unknown race","Male","21/03/2020","Taylorsville","UT","2020"
"White","Male","21/03/2020","Carlsbad","NM","2020"
"Unknown race","Male","21/03/2020","Mojave","CA","2020"
"Unknown race","Male","21/03/2020","Pine Ridge","FL","2020"
"Black","Male","20/03/2020","Cuthbert","GA","2020"
"Black","Male","20/03/2020","Virginia Beach","VA","2020"
"White","Male","20/03/2020","Winchester","TN","2020"
"Black","Male","20/03/2020","Tallahassee","FL","2020"
"White","Male","19/03/2020","Wheeling","MO","2020"
"White","Male","19/03/2020","Port Jervis","NY","2020"
"Black","Male","19/03/2020","Iota","LA","2020"
"Black","Male","18/03/2020","Abilene","TX","2020"
"White","Male","18/03/2020","Granger","IN","2020"
"Unknown race","Male","18/03/2020","Port Richey","FL","2020"
"Black","Male","17/03/2020","Atlanta","GA","2020"
"White","Male","17/03/2020","Grand Junction","CO","2020"
"Black","Male","16/03/2020","Webster City","IA","2020"
"Hispanic","Male","16/03/2020","San Antonio","TX","2020"
"Unknown race","Male","16/03/2020","Naranja","FL","2020"
"Unknown race","Male","16/03/2020","Tucson","AZ","2020"
"White","Female","16/03/2020","Myerstown","PA","2020"
"White","Male","15/03/2020","Chase City","VA","2020"
"Hispanic","Female","15/03/2020","Long Beach","CA","2020"
"White","Male","15/03/2020","High Point","NC","2020"
"White","Male","15/03/2020","Dillon","MT","2020"
"Black","Male","15/03/2020","Syracuse","NY","2020"
"White","Male","14/03/2020","Pueblo","CO","2020"
"Unknown race","Male","14/03/2020","San Joaquin","CA","2020"
"Hispanic","Male","14/03/2020","Ranchos De Taos","NM","2020"
"White","Male","14/03/2020","Springfield","OR","2020"
"Unknown race","Male","14/03/2020","Cocoa","FL","2020"
"White","Male","13/03/2020","Louisville","KY","2020"
"White","Male","13/03/2020","Murfreesboro","TN","2020"
"Asian","Male","13/03/2020","Garland","TX","2020"
"White","Male","13/03/2020","New Kensington","PA","2020"
"Black","Female","13/03/2020","Louisville","KY","2020"
"Hispanic","Male","13/03/2020","Chandler","AZ","2020"
"Hispanic","Male","13/03/2020","Claremore","OK","2020"
"White","Male","12/03/2020","Potomac","MD","2020"
"Black","Male","12/03/2020","Kansas City","MO","2020"
"White","Female","11/03/2020","Anchor Point","AK","2020"
"White","Male","11/03/2020","Elkton","FL","2020"
"White","Male","10/03/2020","St. Louis","MO","2020"
"Hispanic","Male","10/03/2020","Bell Gardens","CA","2020"
"Hispanic","Female","09/03/2020","Torrence","CA","2020"
"White","Female","09/03/2020","Dinuba","CA","2020"
"Hispanic","Male","09/03/2020","Elmendorf","TX","2020"
"Black","Male","08/03/2020","Humble","TX","2020"
"White","Male","08/03/2020","Backus","MN","2020"
"Unknown race","Male","08/03/2020","Montgomery","AL","2020"
"White","Male","08/03/2020","Apache Junction","AZ","2020"
"Black","Male","08/03/2020","Fort Lauderdale","FL","2020"
"White","Male","08/03/2020","Wasilla","AK","2020"
"Unknown race","Male","07/03/2020","Coolbaugh Township","PA","2020"
"White","Male","07/03/2020","Northridge","OH","2020"
"Black","Male","06/03/2020","Fairfield","OH","2020"
"Unknown race","Male","06/03/2020","Tucson","AZ","2020"
"White","Male","06/03/2020","Tulsa","OK","2020"
"White","Male","06/03/2020","Edison","CA","2020"
"Black","Male","05/03/2020","Pittsburgh","PA","2020"
"White","Male","05/03/2020","Richmond","VA","2020"
"Unknown race","Male","05/03/2020","Columbia","MO","2020"
"White","Male","05/03/2020","Ozark","AL","2020"
"Black","Male","05/03/2020","Hamilton Township","IN","2020"
"Unknown race","Male","04/03/2020","Fayetteville","NC","2020"
"White","Male","04/03/2020","St. Cloud","MN","2020"
"White","Male","03/03/2020","Riverside","WA","2020"
"Unknown race","Male","03/03/2020","Miami","FL","2020"
"Black","Male","03/03/2020","Tacoma","WA","2020"
"White","Male","03/03/2020","Manila","AR","2020"
"Unknown race","Male","02/03/2020","Keithville","LA","2020"
"White","Male","02/03/2020","Sherman","TX","2020"
"White","Male","01/03/2020","Houston","TX","2020"
"Hispanic","Male","01/03/2020","Santa Clarita","CA","2020"
"White","Male","01/03/2020","Pueblo","CO","2020"
"Unknown race","Male","01/03/2020","Santa Ana","CA","2020"
"Unknown race","Male","01/03/2020","Cloverleaf","TX","2020"
"White","Male","29/02/2020","Mocksville","NC","2020"
"Hispanic","Male","29/02/2020","San Antonio","TX","2020"
"White","Male","29/02/2020","Henderson","NV","2020"
"Black","Male","29/02/2020","Milwaukee","WI","2020"
"Hispanic","Male","29/02/2020","Las Cruces","NM","2020"
"Hispanic","Male","28/02/2020","Moses Lake","WA","2020"
"White","Male","28/02/2020","Lakeville","MN","2020"
"Hispanic","Male","27/02/2020","Clarkdale","AZ","2020"
"Hispanic","Male","27/02/2020","Jacksonville","FL","2020"
"White","Male","27/02/2020","Bradenton","FL","2020"
"Black","Male","27/02/2020","Colorado Springs","CO","2020"
"Hispanic","Male","26/02/2020","Greeley","CO","2020"
"White","Male","26/02/2020","Tahlequah","OK","2020"
"Unknown race","Male","26/02/2020","Sylvania Township","OH","2020"
"Unknown race","Male","26/02/2020","Garden Grove","CA","2020"
"Unknown race","Male","26/02/2020","Kansas City","MO","2020"
"Black","Male","26/02/2020","Bradenton","FL","2020"
"White","Male","25/02/2020","Georgetown","TX","2020"
"Native American","Male","25/02/2020","Pocatello","ID","2020"
"Black","Male","25/02/2020","Tuscumbia","AL","2020"
"Unknown race","Male","25/02/2020","Shreveport","LA","2020"
"Unknown race","Male","25/02/2020","Dalzell","SC","2020"
"Unknown race","Male","25/02/2020","Brea","CA","2020"
"Black","Male","25/02/2020","Queens","NY","2020"
"Hispanic","Male","24/02/2020","Milwaukee","WI","2020"
"White","Male","24/02/2020","Arnold","NE","2020"
"White","Male","24/02/2020","Floresville","TX","2020"
"Unknown race","Male","23/02/2020","Jamestown","NC","2020"
"Hispanic","Male","22/02/2020","Deming","NM","2020"
"White","Male","22/02/2020","Schuylkill Haven","PA","2020"
"Hispanic","Male","21/02/2020","Arvada","CO","2020"
"Unknown race","Male","21/02/2020","De Soto","MO","2020"
"Unknown race","Female","21/02/2020","Phoenix","AZ","2020"
"Black","Male","20/02/2020","Columbus","OH","2020"
"Unknown race","Male","20/02/2020","Long Beach","CA","2020"
"Unknown race","Male","20/02/2020","Doylestown","PA","2020"
"White","Male","20/02/2020","Decatur","GA","2020"
"Hispanic","Male","19/02/2020","Red Bluff","CA","2020"
"Black","Male","18/02/2020","Orlando","FL","2020"
"White","Male","18/02/2020","Hickory","NC","2020"
"Native American","Male","17/02/2020","Pinetop","AZ","2020"
"White","Male","17/02/2020","Greenville","TN","2020"
"Pacific Islander","Male","16/02/2020","Anchorage","AK","2020"
"Asian","Male","16/02/2020","Long Beach","CA","2020"
"White","Male","16/02/2020","Harrison County","IN","2020"
"Hispanic","Male","16/02/2020","Poinciana","FL","2020"
"White","Male","16/02/2020","Byfield","MA","2020"
"Hispanic","Male","14/02/2020","Silverton","OR","2020"
"Hispanic","Male","14/02/2020","Rialto","CA","2020"
"White","Male","14/02/2020","Lanesboro","NC","2020"
"White","Male","14/02/2020","Commerce City","CO","2020"
"Hispanic","Male","13/02/2020","Amarillo","TX","2020"
"White","Male","13/02/2020","Salt Lake City","UT","2020"
"Native American","Male","13/02/2020","Dickinson","ND","2020"
"Hispanic","Male","13/02/2020","Sparks","NV","2020"
"White","Male","13/02/2020","Bossier City","LA","2020"
"White","Male","12/02/2020","Arlington","TX","2020"
"White","Male","12/02/2020","Baltimore","MD","2020"
"Native American","Male","12/02/2020","Virginia Beach","VA","2020"
"White","Male","10/02/2020","Albertville","AL","2020"
"Black","Male","10/02/2020","Forrest City","AR","2020"
"White","Male","10/02/2020","Lafayette","LA","2020"
"Unknown race","Male","09/02/2020","Orlando","FL","2020"
"Black","Male","09/02/2020","Chicago","IL","2020"
"White","Male","09/02/2020","Kennewick","WA","2020"
"White","Male","09/02/2020","Byron","GA","2020"
"White","Male","09/02/2020","Saginaw","MI","2020"
"White","Male","08/02/2020","Cuba","MO","2020"
"White","Male","08/02/2020","Birmingham","AL","2020"
"Unknown race","Male","07/02/2020","Kansas City","MO","2020"
"White","Male","07/02/2020","Sapulpa","OK","2020"
"White","Male","07/02/2020","Chestnut Hill","MA","2020"
"White","Male","06/02/2020","Port Charlotte","FL","2020"
"White","Male","05/02/2020","Reno","NV","2020"
"Black","Male","04/02/2020","Denton","TX","2020"
"Black","Male","04/02/2020","Home Garden","CA","2020"
"White","Male","04/02/2020","Allen","OK","2020"
"White","Male","04/02/2020","Igo","CA","2020"
"Unknown race","Male","04/02/2020","Conway","AR","2020"
"Hispanic","Male","04/02/2020","Topeka","KS","2020"
"Black","Male","03/02/2020","Salt Lake City","UT","2020"
"Black","Male","02/02/2020","Wauwatosa","WI","2020"
"White","Male","02/02/2020","Minot","ME","2020"
"Unknown race","Male","02/02/2020","Yuma","AZ","2020"
"White","Male","01/02/2020","Spring Hill","FL","2020"
"Black","Male","01/02/2020","Fort Myers","FL","2020"
"Black","Male","01/02/2020","Gulfport","MS","2020"
"Black","Male","30/01/2020","Columbus","OH","2020"
"Unknown race","Male","30/01/2020","Kansas CIty","MO","2020"
"White","Male","30/01/2020","Deposit","NY","2020"
"Black","Male","30/01/2020","Raleigh","NC","2020"
"White","Male","29/01/2020","Kasilof","AK","2020"
"White","Male","29/01/2020","Hockingport","OH","2020"
"White","Male","28/01/2020","Scottsdale","AZ","2020"
"Hispanic","Male","28/01/2020","Tucson","AZ","2020"
"Black","Male","28/01/2020","Graham","NC","2020"
"White","Male","28/01/2020","Dorton","KY","2020"
"Black","Male","27/01/2020","Aiken","SC","2020"
"White","Male","27/01/2020","Lexington Park","MD","2020"
"Black","Male","27/01/2020","Marlow Heights","MD","2020"
"White","Male","27/01/2020","Chandler","AZ","2020"
"Black","Male","25/01/2020","Aurora","CO","2020"
"Black","Male","25/01/2020","Columbus","OH","2020"
"White","Male","24/01/2020","San Angelo","TX","2020"
"Hispanic","Male","24/01/2020","San Diego","CA","2020"
"White","Female","24/01/2020","Coden","AL","2020"
"Black","Male","23/01/2020","Savannah","GA","2020"
"White","Male","23/01/2020","Lakes","AK","2020"
"Black","Male","23/01/2020","St. Petersburg","FL","2020"
"White","Male","23/01/2020","Paris","TX","2020"
"Black","Male","23/01/2020","Bloomingdale","NJ","2020"
"Black","Male","23/01/2020","Atlanta","GA","2020"
"Hispanic","Male","22/01/2020","Mesa","AZ","2020"
"White","Male","22/01/2020","Arvada","CO","2020"
"Hispanic","Male","22/01/2020","Moore","OK","2020"
"Black","Male","21/01/2020","Jacksonville","FL","2020"
"Black","Male","21/01/2020","Denton","TX","2020"
"White","Male","21/01/2020","Atkins","AR","2020"
"White","Male","21/01/2020","Appleton","WI","2020"
"Asian","Male","21/01/2020","Lacey","WA","2020"
"Black","Male","21/01/2020","Owings Mills","MD","2020"
"Hispanic","Male","20/01/2020","Fountain Valley","CA","2020"
"White","Male","20/01/2020","Lafayette","IN","2020"
"White","Male","20/01/2020","Sedona","AZ","2020"
"White","Male","20/01/2020","Waterbury","CT","2020"
"Black","Male","19/01/2020","Chesapeake","VA","2020"
"White","Male","19/01/2020","Sebring","FL","2020"
"White","Male","19/01/2020","Metairie","LA","2020"
"Black","Male","17/01/2020","Powder Springs","GA","2020"
"White","Male","16/01/2020","Wausau","WI","2020"
"White","Male","16/01/2020","West Jefferson","NC","2020"
"Unknown race","Male","16/01/2020","Thorn Hill","TN","2020"
"White","Male","16/01/2020","Yerington","NV","2020"
"Black","Male","15/01/2020","West Haven","CT","2020"
"White","Male","15/01/2020","Mulberry","FL","2020"
"White","Male","15/01/2020","Missoula","MT","2020"
"Black","Male","15/01/2020","Cocoa","FL","2020"
"Black","Male","15/01/2020","Lawrenceville","GA","2020"
"Hispanic","Male","14/01/2020","The Villages","FL","2020"
"Black","Male","13/01/2020","Gary","IN","2020"
"White","Male","13/01/2020","San Antonio","TX","2020"
"White","Male","12/01/2020","Carthage","MO","2020"
"White","Male","11/01/2020","New Castle","CO","2020"
"Black","Male","11/01/2020","Bainbridge","GA","2020"
"Black","Male","11/01/2020","Miami Beach","FL","2020"
"White","Male","11/01/2020","Wheat Ridge","CO","2020"
"Hispanic","Male","11/01/2020","Culver City","CA","2020"
"Pacific Islander","Male","10/01/2020","Town and Country","WA","2020"
"White","Male","09/01/2020","Bismarck","ND","2020"
"White","Male","09/01/2020","Semmes","AL","2020"
"Black","Male","09/01/2020","New York","NY","2020"
"Unknown race","Male","09/01/2020","Powhatan","OH","2020"
"Black","Male","09/01/2020","Philadelphia","PA","2020"
"Hispanic","Male","09/01/2020","Muscoy","CA","2020"
"Unknown race","Male","08/01/2020","Baker","CA","2020"
"White","Male","08/01/2020","Bismarck","MO","2020"
"Unknown race","Male","08/01/2020","Dallas","TX","2020"
"White","Male","07/01/2020","Asheboro","NC","2020"
"White","Male","07/01/2020","Delta Junction","AK","2020"
"Unknown race","Male","06/01/2020","Aurora","CO","2020"
"Hispanic","Male","06/01/2020","Albuquerque","NM","2020"
"Hispanic","Male","06/01/2020","Phoenix","AZ","2020"
"Pacific Islander","Male","06/01/2020","Kailua","HI","2020"
"Black","Male","05/01/2020","Jacksonville","FL","2020"
"Black","Male","05/01/2020","Sparks","NV","2020"
"Black","Male","05/01/2020","Milford","DE","2020"
"Hispanic","Male","05/01/2020","Lubbock","TX","2020"
"White","Male","05/01/2020","Oklahoma City","OK","2020"
"White","Male","05/01/2020","Elkmont","AL","2020"
"Black","Male","04/01/2020","Chicago","IL","2020"
"Black","Female","04/01/2020","Spring Valley","NY","2020"
"White","Male","02/01/2020","Holt","MO","2020"
"Hispanic","Male","02/01/2020","Chicago","IL","2020"
"Hispanic","Male","02/01/2020","Ansonia","CT","2020"
"White","Male","02/01/2020","Murrieta","CA","2020"
"Unknown race","Male","02/01/2020","Hillsboro","OR","2020"
"Black","Male","02/01/2020","North Las Vegas","NV","2020"
"Hispanic","Male","01/01/2020","Denver","CO","2020"
"White","Male","01/01/2020","Warsaw","VA","2020"
"Unknown race","Male","01/01/2020","Central Point","OR","2020"
"White","Male","01/01/2020","Grass Valley","CA","2020"
"Black","Male","31/12/2019","Federal Way","WA","2019"
"White","Male","31/12/2019","Globe","AZ","2019"
"White","Male","31/12/2019","Cross Lanes","WV","2019"
"Black","Male","31/12/2019","Omaha","NE","2019"
"Unknown race","Male","31/12/2019","Blue Mountain","MS","2019"
"Unknown race","Male","31/12/2019","Memphis","AR","2019"
"Black","Male","31/12/2019","Chesterfield","MO","2019"
"Black","Male","30/12/2019","Houston","TX","2019"
"White","Male","30/12/2019","Fulton","MO","2019"
"White","Female","30/12/2019","Wichita","KS","2019"
"White","Male","29/12/2019","Rapid City","SD","2019"
"Hispanic","Male","29/12/2019","El Centro","CA","2019"
"Unknown race","Male","29/12/2019","Byhalia","MS","2019"
"Unknown race","","29/12/2019","Lafayette","IN","2019"
"White","Male","29/12/2019","Juneau","AK","2019"
"White","Male","28/12/2019","Lancaster","OH","2019"
"White","Male","28/12/2019","Clearlake Oaks","CA","2019"
"White","Male","28/12/2019","Houston","TX","2019"
"Hispanic","Male","28/12/2019","Bakersfield","CA","2019"
"White","Male","28/12/2019","Elizabethton","TN","2019"
"White","Male","27/12/2019","Newport News","VA","2019"
"White","Male","27/12/2019","Linthicum Heights","MD","2019"
"Hispanic","Male","27/12/2019","Limerick","ME","2019"
"White","Male","27/12/2019","South Ogden","UT","2019"
"Hispanic","Male","26/12/2019","Auburndale","FL","2019"
"Black","Male","26/12/2019","Memphis","TN","2019"
"White","Female","25/12/2019","Ocala","FL","2019"
"Black","Male","25/12/2019","Atlanta","GA","2019"
"Unknown race","Male","24/12/2019","Springfield","MO","2019"
"Black","Male","24/12/2019","Oklahoma City","OK","2019"
"White","Male","24/12/2019","Deltona","FL","2019"
"White","Male","23/12/2019","Bryant","AR","2019"
"Hispanic","Male","23/12/2019","San Antonio","TX","2019"
"Hispanic","Male","23/12/2019","Phoenix","AZ","2019"
"Black","Male","22/12/2019","Pittsburgh","PA","2019"
"Black","Male","22/12/2019","Hattiesburg","MS","2019"
"Unknown race","Male","22/12/2019","Redding","CA","2019"
"White","Male","21/12/2019","Huntington","UT","2019"
"White","Male","21/12/2019","Evansville","IN","2019"
"White","Male","21/12/2019","Ithaca","NY","2019"
"White","Male","21/12/2019","Carrollton","GA","2019"
"White","Male","20/12/2019","Lynn","IN","2019"
"Black","Male","20/12/2019","Winston-Salem","NC","2019"
"Black","Male","19/12/2019","Brentwood","NY","2019"
"Black","Male","19/12/2019","Tempe","AZ","2019"
"Black","Male","19/12/2019","Lenoir","NC","2019"
